x,y,brightness1,brightness2,locPrec,oligomerID
2365.8,6800.9,5969.4,57123,0.64727,487
2364.9,6799.6,6016.8,56495,0.65027,487
9652.2,4214.3,19442,1127,1.1336,10
9649.7,4212.6,19499,1040.9,1.1344,10
9652,4212.6,19160,1132.8,1.1413,10
9651.7,4214.1,19341,971.6,1.1408,10
8909.8,8011.5,11776,70730,0.56602,277
8908.2,8011.9,11667,70248,0.56806,277
8908.7,8012.7,11699,70088,0.5685,277
8908.2,8011.5,11684,70731,0.56633,277
8907.7,8011.7,11720,70934,0.56552,277
8908.6,8011.5,11835,71026,0.56481,277
8909.3,8011.8,11309,70483,0.56849,277
8908.1,8011.7,11403,71092,0.56606,277
4245.3,7464.6,65056,18535,0.56234,929
4245.7,7464.9,64747,18646,0.56301,929
4245.7,7464.2,65901,18593,0.55932,929
4244.4,7465.1,65627,18066,0.56199,929
4244.7,7463.6,65899,18532,0.55953,929
4245.6,7463.7,65845,18875,0.55858,929
4244.8,7464.6,65765,18191,0.56111,929
4245.7,7464.7,65250,18494,0.56182,929
4245.7,7465.2,66101,18164,0.56008,929
4245.9,7464.2,65507,18358,0.56142,929
4245,7464.5,65347,18335,0.56203,929
2054.2,5431.5,32749,35930,0.62039,826
2054.6,5430,32953,36153,0.61847,826
2053.9,5431.5,32890,35885,0.61996,826
2055.7,5430.8,33377,36227,0.61625,826
2054.1,5430.3,33391,36372,0.61555,826
2053.1,5431.1,33218,35893,0.61845,826
2053.3,5430.6,33162,36399,0.61644,826
2054.2,5430.7,32903,35688,0.62079,826
2054.7,5431,33356,35886,0.61786,826
2053.9,5430.3,33005,36348,0.61737,826
2054.5,5430,33171,36287,0.6169,826
2054.1,5431,32895,36503,0.61717,826
2053.7,5429.5,33341,35827,0.61819,826
6627.7,8274.1,28307,35973,0.64127,707
6626.4,8273.8,27952,36355,0.64113,707
6627,8274.2,28470,36402,0.63833,707
6627.2,8274.7,27877,36428,0.64114,707
6626.5,8274.2,28222,36206,0.64053,707
6627.4,8275.8,28317,36684,0.6377,707
6626.3,8274.3,28288,35858,0.64194,707
6626.6,8273.8,28000,36546,0.63995,707
6626.5,8273.8,27819,36138,0.64288,707
6627,8273.7,28362,36576,0.63801,707
6626.2,8273.6,27914,36596,0.64012,707
6626.8,8273.5,27890,36156,0.64244,707
6627.6,8273.9,27818,36510,0.64102,707
6627.6,8274.2,27848,36480,0.64103,707
6625.8,8274.2,27974,36318,0.64121,707
6626.1,8274.6,27934,36621,0.6399,707
5305.1,301.84,31922,42571,0.59569,837
5306,302.67,31714,42645,0.59622,837
5305.5,302.8,31657,42360,0.5976,837
5305.3,302.61,31583,42581,0.59701,837
5306,301.85,32092,42141,0.59673,837
5305.7,302.68,31790,42879,0.59499,837
5305.7,302.94,31909,42534,0.59589,837
5306,301.65,31889,42728,0.59519,837
5306.6,302.52,31738,42740,0.59575,837
5305.7,303.66,31690,42293,0.59773,837
5306.1,302.72,31344,42375,0.59881,837
5305.4,301.64,31732,42573,0.59644,837
5304.8,302.16,31865,42287,0.59706,837
6390.8,7061.2,38946,26101,0.63747,510
8145.4,7963.3,42.724,98660,0.5175,992
8145.3,7962.8,45.172,98522,0.51786,992
6256.9,3491,2096.8,39853,0.7938,188
6259.4,3489.5,2114.5,39914,0.79305,188
